 "Time [d]","dt_flow [d]","dt_tran [d]","Global Water Mass in Liquid Phas [kg]","Global Vaq [mol]","Global Vim [mol]","west Water Mass [kg]","west Water Mass [kg/d]","west Vaq [mol]","west Vaq [mol/d]","east Water Mass [kg]","east Water Mass [kg/d]","east Vaq [mol]","east Vaq [mol/d]","injection_well Water Mass [kg]","injection_well Water Mass [kg/d]","injection_well Vaq [mol]","injection_well Vaq [mol/d]","extraction_well Water Mass [kg]","extraction_well Water Mass [kg/d]","extraction_well Vaq [mol]","extraction_well Vaq [mol/d]","Region all Water Mass [kg]","Region all Total Mass [kg]"
3.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86422599E-09,1.63991619E-11,-2.53915533E+07,-7.81283942E+06,-6.48954621E-08,-2.18940560E-08,2.54617486E+07,7.83443506E+06,2.54657882E-43,7.83567818E-44,7.79844065E+02,2.39952014E+02,7.80000000E-08,2.40000000E-08,-7.09662455E+04,-2.18357674E+04,-7.09662466E-46,-2.18357674E-46,8.15841558E+05,5.35937500E+07
3.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86445439E-09,1.78225505E-11,-2.92979778E+07,-7.81285539E+06,-7.58427844E-08,-2.18949020E-08,2.93789708E+07,7.83445103E+06,2.93836320E-43,7.83569420E-44,8.99820072E+02,2.39952013E+02,9.00000000E-08,2.40000000E-08,-8.18841291E+04,-2.18357672E+04,-8.18841302E-46,-2.18357672E-46,8.15841553E+05,5.35937500E+07
3.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86438352E-09,1.71430147E-11,-2.73447646E+07,-7.81284741E+06,-7.03690784E-08,-2.18946172E-08,2.74203587E+07,7.83444304E+06,2.74247091E-43,7.83568618E-44,8.39832068E+02,2.39952013E+02,8.40000000E-08,2.40000000E-08,-7.64251873E+04,-2.18357673E+04,-7.64251884E-46,-2.18357673E-46,8.15841555E+05,5.35937500E+07
3.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86422599E-09,1.63991619E-11,-2.53915533E+07,-7.81283942E+06,-6.48954621E-08,-2.18940560E-08,2.54617486E+07,7.83443506E+06,2.54657882E-43,7.83567818E-44,7.79844065E+02,2.39952014E+02,7.80000000E-08,2.40000000E-08,-7.09662455E+04,-2.18357674E+04,-7.09662466E-46,-2.18357674E-46,8.15841558E+05,5.35937500E+07
3.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86445439E-09,1.78225505E-11,-2.92979778E+07,-7.81285539E+06,-7.58427844E-08,-2.18949020E-08,2.93789708E+07,7.83445103E+06,2.93836320E-43,7.83569420E-44,8.99820072E+02,2.39952013E+02,9.00000000E-08,2.40000000E-08,-8.18841291E+04,-2.18357672E+04,-8.18841302E-46,-2.18357672E-46,8.15841553E+05,5.35937500E+07
4.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976629E+07,6.86448420E-09,1.84433162E-11,-3.12511930E+07,-7.81286338E+06,-8.13165376E-08,-2.18950559E-08,3.13375849E+07,7.83445902E+06,3.13425569E-43,7.83570221E-44,9.59808075E+02,2.39952012E+02,9.60000000E-08,2.40000000E-08,-8.73430709E+04,-2.18357672E+04,-8.73430720E-46,-2.18357672E-46,8.15841550E+05,5.35937500E+07
3.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86438352E-09,1.71430147E-11,-2.73447646E+07,-7.81284741E+06,-7.03690784E-08,-2.18946172E-08,2.74203587E+07,7.83444304E+06,2.74247091E-43,7.83568618E-44,8.39832068E+02,2.39952013E+02,8.40000000E-08,2.40000000E-08,-7.64251873E+04,-2.18357673E+04,-7.64251884E-46,-2.18357673E-46,8.15841555E+05,5.35937500E+07
3.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86438352E-09,1.71430147E-11,-2.73447646E+07,-7.81284741E+06,-7.03690784E-08,-2.18946172E-08,2.74203587E+07,7.83444304E+06,2.74247091E-43,7.83568618E-44,8.39832068E+02,2.39952013E+02,8.40000000E-08,2.40000000E-08,-7.64251873E+04,-2.18357673E+04,-7.64251884E-46,-2.18357673E-46,8.15841555E+05,5.35937500E+07
4.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976629E+07,6.86449430E-09,1.90103877E-11,-3.32044102E+07,-7.81287138E+06,-8.67903177E-08,-2.18951469E-08,3.32962010E+07,7.83446701E+06,3.33014838E-43,7.83571023E-44,1.01979608E+03,2.39952011E+02,1.02000000E-07,2.40000000E-08,-9.28020127E+04,-2.18357671E+04,-9.28020138E-46,-2.18357671E-46,8.15841548E+05,5.35937500E+07
4.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976629E+07,6.86448420E-09,1.84433162E-11,-3.12511930E+07,-7.81286338E+06,-8.13165376E-08,-2.18950559E-08,3.13375849E+07,7.83445902E+06,3.13425569E-43,7.83570221E-44,9.59808075E+02,2.39952012E+02,9.60000000E-08,2.40000000E-08,-8.73430709E+04,-2.18357672E+04,-8.73430720E-46,-2.18357672E-46,8.15841550E+05,5.35937500E+07
