"Time [h]","dt_tran [h]","Global Vaq [mol]","Global Vim [mol]","Bottom Vaq [mol]","Bottom Vaq [mol/h]","Top Vaq [mol]","Top Vaq [mol/h]"
1.45555556E+01,2.77777778E-02,2.17486623E-02,5.52334100E-01,1.77108601E+00,-3.52799430E-04,-6.79547159E-01,-1.14644315E-02
1.46666667E+01,2.77777778E-02,2.16016579E-02,5.48799383E-01,1.77104700E+00,-3.50013317E-04,-6.80816128E-01,-1.13945486E-02
1.47777778E+01,2.77777778E-02,2.14556410E-02,5.45286976E-01,1.77100831E+00,-3.47249207E-04,-6.82077362E-01,-1.13250797E-02
1.48888889E+01,2.77777778E-02,2.13106051E-02,5.41796742E-01,1.77096991E+00,-3.44506926E-04,-6.83330905E-01,-1.12560226E-02
1.50000000E+01,2.77777778E-02,2.11665436E-02,5.38328542E-01,1.77093182E+00,-3.41786303E-04,-6.84576803E-01,-1.11873748E-02
1.51111111E+01,2.77777778E-02,2.10234500E-02,5.34882240E-01,1.77089404E+00,-3.39087166E-04,-6.85815102E-01,-1.11191342E-02
1.52222222E+01,2.77777778E-02,2.08813179E-02,5.31457700E-01,1.77085655E+00,-3.36409345E-04,-6.87045847E-01,-1.10512982E-02
1.53333333E+01,2.77777778E-02,2.07401408E-02,5.28054786E-01,1.77081935E+00,-3.33752672E-04,-6.88269083E-01,-1.09838647E-02
1.54444444E+01,2.77777778E-02,2.05999124E-02,5.24673365E-01,1.77078245E+00,-3.31116981E-04,-6.89484854E-01,-1.09168314E-02
1.55555556E+01,2.77777778E-02,2.04606263E-02,5.21313303E-01,1.77074584E+00,-3.28502105E-04,-6.90693204E-01,-1.08501958E-02
1.56666667E+01,2.77777778E-02,2.03222763E-02,5.17974467E-01,1.77070952E+00,-3.25907880E-04,-6.91894178E-01,-1.07839559E-02
1.57777778E+01,2.77777778E-02,2.01848560E-02,5.14656725E-01,1.77067349E+00,-3.23334142E-04,-6.93087819E-01,-1.07181093E-02
1.58888889E+01,2.77777778E-02,2.00483594E-02,5.11359947E-01,1.77063774E+00,-3.20780731E-04,-6.94274171E-01,-1.06526537E-02
1.60000000E+01,2.77777778E-02,1.99127801E-02,5.08084002E-01,1.77060227E+00,-3.18247485E-04,-6.95453278E-01,-1.05875870E-02
1.61111111E+01,2.77777778E-02,1.97781122E-02,5.04828760E-01,1.77056709E+00,-3.15734246E-04,-6.96625181E-01,-1.05229069E-02
1.62222222E+01,2.77777778E-02,1.96443495E-02,5.01594094E-01,1.77053218E+00,-3.13240854E-04,-6.97789925E-01,-1.04586112E-02
1.63333333E+01,2.77777778E-02,1.95114860E-02,4.98379874E-01,1.77049755E+00,-3.10767155E-04,-6.98947551E-01,-1.03946977E-02
1.64444444E+01,2.77777778E-02,1.93795157E-02,4.95185975E-01,1.77046319E+00,-3.08312991E-04,-7.00098102E-01,-1.03311643E-02
1.65555556E+01,2.77777778E-02,1.92484326E-02,4.92012268E-01,1.77042910E+00,-3.05878209E-04,-7.01241620E-01,-1.02680086E-02
1.66666667E+01,2.77777778E-02,1.91182307E-02,4.88858630E-01,1.77039528E+00,-3.03462655E-04,-7.02378147E-01,-1.02052287E-02
